Decile,N_Observations,N_Target,Churn_Rate,Precision,Lift,Cumulative_N_Target,Cumulative_N_Obs,Cumulative_Precision,Cumulative_Recall
1,4254,190,0.04466384579219558,0.04466384579219558,5.721815329017056,190,4254,0.04466384579219558,0.572289156626506
2,4253,69,0.016223841993886667,0.016223841993886667,2.078410986999963,259,8507,0.030445515457858233,0.7801204819277109
3,4253,36,0.00846461321420174,0.00846461321420174,1.0843883410434592,295,12760,0.02311912225705329,0.8885542168674698
4,4253,22,0.005172819186456619,0.005172819186456619,0.6626817639710028,317,17013,0.018632810203961677,0.9548192771084337
5,4253,6,0.0014107688690336232,0.0014107688690336232,0.18073139017390982,323,21266,0.015188563904824603,0.9728915662650602
6,4253,2,0.00047025628967787447,0.00047025628967787447,0.06024379672463662,325,25519,0.01273560876209883,0.9789156626506024
7,4253,3,0.0007053844345168116,0.0007053844345168116,0.09036569508695491,328,29772,0.011017063012226254,0.9879518072289156
8,4253,0,0.0,0.0,0.0,328,34025,0.009639970609845701,0.9879518072289156
9,4253,4,0.0009405125793557489,0.0009405125793557489,0.12048759344927323,332,38278,0.008673389414284968,1.0
10,4254,0,0.0,0.0,0.0,332,42532,0.007805887331891282,1.0
